beian,c_name,category,component0,component1,component10,component11,component12,component13,component14,component15,component16,component17,component18,component19,component2,component20,component21,component22,component23,component24,component25,component26,component27,component28,component29,component3,component30,component31,component32,component33,component34,component35,component36,component37,component38,component39,component4,component40,component41,component42,component43,component44,component45,component46,component47,component48,component49,component5,component50,component6,component7,component8,component9,e_name,o_name,others,url
"
                        国产备案:京G妆网备字2014002161
                    ",,https://www.bevol.cn/product/795da19840d396c5fd1612aedd72277d.html,椰油酰胺丙基羟基磺基甜菜碱,月桂酸,甲基氯异噻唑啉酮,甲基异噻唑啉酮,（日用）香精,甲基异噻唑啉酮,,,,,,,椰油酰甘氨酸钠,,,,,,,,,,,椰油酰羟乙磺酸酯钠,,,,,,,,,,,椰油酰甘氨酸钠,,,,,,,,,,,椰油酰羟乙磺酸酯钠,,月桂酸,椰油酰胺丙基羟基磺基甜菜碱,椰油酰甘氨酸钠,（日用）香精,,,,
"
                        进口备案:国妆备进字J20151764
                    ",,https://www.bevol.cn/product/40569b748d9daea81ee48e20ff528efc.html,"1,3-丙二醇",甘油,香柠檬(CITRUS AURANTIUM BERGAMIA)果提取物,大红桔(CITRUS TANGERINA)果,抗坏血酸(维生素C),山茶(CAMELLIA JAPONICA)叶提取物,温州蜜柑(CITRUS UNSHIU)果皮提取物,胭脂仙人掌(OPUNTIA COCCINELLIFERA)果提取物,氢化卵磷脂,可可(THEOBROMA CACAO)提取物,乳酸,抗坏血酸(维生素C),乳酸,茶(CAMELLIA SINENSIS)籽油,甘油,大红桔(CITRUS TANGERINA)果,生物糖 胶-1,甜橙(CITRUS AURANTIUM DULCIS)果提取物,"1,3-丙二醇",山茶(CAMELLIA JAPONICA)叶提取物,甜菜碱,香柠檬(CITRUS AURANTIUM BERGAMIA)果提取物,可可(THEOBROMA CACAO)提取物,生物糖 胶-1,胭脂仙人掌(OPUNTIA COCCINELLIFERA)果提取物,温州蜜柑(CITRUS UNSHIU)果皮提取物,抗坏血酸(维生素C),氢化卵磷脂,茶(CAMELLIA SINENSIS)叶提取物,乳酸,乙基己基甘油,生物糖 胶-1,可可(THEOBROMA CACAO)提取物,(日用)香精,甜菜碱,(日用)香精,,,,,,,,,,茶(CAMELLIA SINENSIS)籽油,,氢化卵磷脂,乙基己基甘油,茶(CAMELLIA SINENSIS)叶提取物,甜橙(CITRUS AURANTIUM DULCIS)果提取物,英文名称：Innisfree the green tea seed serum,,,
"
                        进口备案:国妆备进字J20151761
                    ",,https://www.bevol.cn/product/3a87ccc6cc12c39730c7a2c5b6f1ce6c.html,"1,3-丙二醇",甘油聚醚-26,山茶(CAMELLIA JAPONICA)叶提取物,香柠檬(CITRUS AURANTIUM BERGAMIA)果提取物,甜橙(CITRUS AURANTIUM DULCIS)果提取物,大红桔(CITRUS TANGERINA)果,抗坏血酸(维生素C),乳酸,抗坏血酸(维生素C),丁二醇,甘油,大红桔(CITRUS TANGERINA)果,丁二醇,甜橙(CITRUS AURANTIUM DULCIS)果提取物,"1,3-丙二醇",山茶(CAMELLIA JAPONICA)叶提取物,甘油聚醚-26,香柠檬(CITRUS AURANTIUM BERGAMIA)果提取物,透明质酸钠,胭脂仙人掌(OPUNTIA COCCINELLIFERA)果提取物,温州蜜柑(CITRUS UNSHIU)果皮提取物,抗坏血酸(维生素C),茶(CAMELLIA SINENSIS)叶提取物,甘油,乙基己基甘油,乳酸,(日用)香精,(日用)香精,,,,,,,乙基己基甘油,,,,,,,,,,,透明质酸钠,,乳酸,茶(CAMELLIA SINENSIS)叶提取物,胭脂仙人掌(OPUNTIA COCCINELLIFERA)果提取物,温州蜜柑(CITRUS UNSHIU)果皮提取物,英文名称：Innisfree green tea moisture skin,,,
"
                        进口备案:国妆备进字J20114628
                    ",,https://www.bevol.cn/product/a4a9a3ff1265bd61f24e4d784e22266d.html,月桂酸,椰油酰胺丙基甜菜碱,,,,,,,,,,,肉豆蔻酸,,,,,,,,,,,肉豆蔻酸,,,,,,,,,,,月桂酸,,,,,,,,,,,椰油酰胺丙基甜菜碱,,苯甲酸钠,（日用）香精,（日用）香精,,英文名称：Innisfree Green Tea Pure Cleansing Foam,,,
"
                        进口备案:国妆备进字J201310546
                    ",,https://www.bevol.cn/product/dc9be7bb0883eb68ac991a0711fd75f9.html,丁二醇,甘油,乳酸,丁二醇,甘露糖醇,甘油,海藻糖,胭脂仙人掌(OPUNTIA COCCINELLIFERA)果提取物,温州蜜柑（CITRUS UNSHIU）果皮提取物,山茶（CAMELLIA JAPONICA）叶提取物,茶（CAMELLIA SINENSIS）叶提取物,乳酸,海藻糖,乙基己基甘油,薄荷氧基丙二醇,苯氧乙醇,,,,,,,,甘露糖醇,,,,,,,,,,,乳酸,,,,,,,,,,,乙基己基甘油,,胭脂仙人掌(OPUNTIA COCCINELLIFERA)果提取物,温州蜜柑（CITRUS UNSHIU）果皮提取物,山茶（CAMELLIA JAPONICA）叶提取物,茶（CAMELLIA SINENSIS）叶提取物,英文名称：innisfree super volcanic pore clay mask,,,
beian,c_name,category,component0,component1,component10,component11,component12,component13,component14,component15,component16,component17,component18,component19,component2,component20,component21,component22,component23,component24,component25,component26,component27,component28,component29,component3,component30,component31,component32,component33,component34,component35,component36,component37,component38,component39,component4,component40,component41,component42,component43,component44,component45,component46,component47,component48,component49,component5,component50,component6,component7,component8,component9,e_name,o_name,others,url
"
                        国产备案:京G妆网备字2014002161
                    ",,"大宝
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.bevol.cn/product/795da19840d396c5fd1612aedd72277d.html
"
                        进口备案:国妆备进字J20151764
                    ",,"innisfree
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,英文名称：Innisfree the green tea seed serum,,,https://www.bevol.cn/product/40569b748d9daea81ee48e20ff528efc.html
"
                        进口备案:国妆备进字J20151761
                    ",,"innisfree
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,英文名称：Innisfree green tea moisture skin,,,https://www.bevol.cn/product/3a87ccc6cc12c39730c7a2c5b6f1ce6c.html
