name,content,author,chapter
第一政要夫人,她把上个月单位集体做的一次身体检查报告用邮件发过去，那边很快回信，说她的条件可以。特别是对方还看重她是RH阴型血，甚至愿意再加两万。他们约好了今天晚上十二点，会有人来医院接她。她一跟这个人通完电话，程东阳的电话就打来了。她忘了这是她按掉他的第几个电话，她盯着这个名字很久，最后还是接了。“孟瑜冬，你终于接电话了。”那边的男人显然正在暴怒的边缘，声音冷峻。“程市长，抱歉，我家里出了点事，实在没有时间接电话。请问有什么事吗？”她疲累的坐在长椅上，望着走廊上的白炽灯，刺的她眼睛发酸。“你家里出了什么事？”程东阳大概感觉出她的声音不对劲，忙问道。“一点小事而已，我要过几天才会回滨海。”她幽幽的说着，“程市长，没事的话，我先挂了。”“孟瑜冬！”程东阳忙叫住她，“你是不是发生什么事？孟瑜冬，你最好诚实一点，告诉我发生了什么事。”“是我家里的出了一点事情而已，程市长放心，我没有相亲，也没有见你父亲，没有去见任何一个人，这样，你满意了吗？”她不是这样针锋相对的人，可是现在听到他的声音，她控制不住这样。“孟瑜冬。。。”程东阳真的听出她声音不对了，“你是不是在哭？到底发生什么事？该死的，你告诉我，究竟怎么了？”“真的没事，程市长。我要挂了，再见。”她说着，忙把电话挂了。可是下一秒，电话又响了，她看着那个名字，眼泪一滴滴的往下掉，湿了手机的屏幕。她用力的擦了擦眼泪，还是把电话接了。“你现在在哪儿？我现在在吉安走不开，我让启航过来，你告诉我你在哪儿？”程东阳在那边声音焦急的问道。她没有回应，只是听着他的声音，急切而焦燥的。她捂了捂手机，用力的吸了一下鼻子说道：“真的不用了，程市长，只是我家里的一点小事。我爸叫我了，我先挂了。”她说完，又把电话挂了，而这一次挂了，就再也没有响过。父亲的确来了，看她眼睛是红了，他说道：“冬冬，别害怕，你妈会没事的。我已经把钱取出来了，房子的事情也在托人张罗。你先回家休息，今天晚上我在这儿守着你妈。”她定定的看了看父亲，点了点头。她并没有真的走，一直坐在医院后面的花园里，直到快十二点的时候，一辆面包车停在医院门口，她坐了上去。亲们，文文免费到这里，明天就上架了。这是小蘑菇来这里的第一个文，也许这是一个新风格的小说，但是我保证故事肯定精彩。我们的冬冬真的会卖肾吗？她和市长大人的恋情又会怎么继续下去？女主的身世究竟有什么样的有迷题？书名叫第一政要夫人，女主又是如何蜕变，嫁入豪门成为第一政要夫人！后面的故事必然更加精彩，偶知道亲们喜欢吃肉肉，小蘑菇一定管吃个饱！小蘑菇的更新也是有保障的，上架当天会有三万字的更新，平时保持八千到一万字的更新。通常是在凌晨或者早上七点半左右更新。在这里，小蘑菇谢谢大家的支持，偶去码字了，会以更精彩的剧情回报大家。,,第080章 你在哪里？+上架公告
第一政要夫人,她握着这张名片，深黑的颜色，上面只有一名字和电话。倪先生，这是谁？那个护士为什么要给她这个名片，是什么意思呢？她拿出了手机，开了机，拔了这通电话。“你好！”她涩涩了说了一声。“小姐，你好，有什么需要帮你的吗？”那边男人的声音干净清爽。“我想知道，你们是做什么的？刚才有一个护士把名片给我。”“原来是这样，小姐，你是不是很需要钱，我这里高价回收人~体器~官。”那边说道。她身体一震，握紧了电话说道：“我这里没有那种，你搞错了。”“小姐，你或许不明白，咱们身体里面有很多器官可以捐出来，比如肾。只要你的身体够健康，我这里高价回收。”倪先生不疾不徐的解释道。“就好像很多人去卖血一样。”“不好意思，我这里不卖的。”一时间她手中的电话，就成了烫手的山芋，她恨不得马上挂了。“没关系的，小姐，你可以再考虑一下。有需要可以打这个电话。”倪先生一点也不着急，有些猎物迟早会上勾。她挂断了电话，心脏还是在怦怦的直跳。她将手按在心口，仍然没有平复。蓦地，电话又响了，她一看来电是程东阳，心脏抖了一下，忙将电话按掉，再关机。她握着电话和名片的手全是汗，心也一直没办法平静，就这么坐在病房外坐了一夜。她想着父亲的案子，看母亲还睡着，她便坐车去警局了。她在警局的等候大厅坐了很久，才有两个女警出来。她忙站起来：“我是孟梓笙的女儿，我想知道他的案子怎么样了。”女警冷冷的看了她一眼：“跟我进来。”她只能跟过去，警察让她坐到一边，说道：“你父亲的案子现在还在调查当中，一旦证据充分，我们会移交检察院。”孟瑜冬不了解这些程序，可是一听要移交检察院，也知道问题大发了。她忙说道：“可是我妈已经醒了，她说，并不是我爸推她到马上路上的。如果是这样，我爸就是无辜的。”“如果不是因为你妈的口供，你父亲的案子现在已经移交检察院了。孟小姐，我们警察办案，用不着你来多嘴。”女警怒了，脸上的表情堪比北极寒冰。“那我想知道，我爸什么时候能放出来。”她深吸一口气，放低了一点姿态问道。“你爸现在还是犯罪嫌疑人，不过你母亲醒了，你父亲顶多算是故意伤人，可以保释。”女警说道。“那我申请给我父亲保释。”她忙说道。“交十万的保释金，去那边办手续吧！”女警文件一合，对她说道。,,第077章 十万保释金
第一政要夫人,十万保释金！她半天没有反应过来，如果她把十万块交出去，那母亲怎么办呢？她还是去交了保释金，签了单子办了手续，终于她看到了被放出来的父亲。父亲头发全被剔掉，神情无助且苍白。他穿着白色的衬衫，灰色的长裤，看到她时先怔了怔，然后一言不发。孟瑜冬和父亲一起上了公交车，此时车上人不多，他们坐在后面。孟梓笙坐着靠窗的地方，看了看她说：“你妈醒过来了？”“嗯！”她应了应，不去看他。“她没事了吧？”孟梓笙问这话的时候，声音微微沙哑。一提到母亲，她心里一痛，定定的看着父亲，没有说话。就是当下，她的电话响了，是医院打来的。“孟小姐，你母亲突然陷入昏迷，马上要送到手术室抢救。”她脸一白，手发抖：“我们现在就赶到医院来。”“你妈怎么了？”一旁的孟梓笙急忙问道。“我妈陷入了昏迷。”她紧紧的握着手机，忍着要涌出来的眼泪，“我妈这样了，还在维护你。爸，但凡你对她好点儿，她都不会这样。”孟梓笙表情悲痛：“是我害了她，可是冬冬，你说这话也不公平。我想对你妈好，只是她未必会喜欢。”“你说什么？”孟瑜冬胸口涌出一股怒意，母亲都这个样子了，他居然还说这样的话。“冬冬，你不懂你妈，甚至我和她这么多年夫妻，我也不懂她。”孟梓笙叹息一声，神情无助且悲凉。孟瑜冬还想说什么，可是看着父亲的神情，她又语塞，什么话都说不出口。一到医院，母亲已经进了手术室抢救，她真的害怕极了这种折磨。她打电话给孟小冬，她的电话还是不通，始终不通。手术又做了三个多小时，母亲终于被推了出来。她跟医生去他的办公室谈母亲的病情，让父亲留下来。“她现在的情况暂时稳定了，孟小姐，我跟你说过，你母亲不能再受任何刺激。请多照顾病人的心情，不要再刺激她。”陆医生说道。她愣愣的点头：“医生，我妈的肿瘤现在检查出来了吗？”“现在确定，这颗肿瘤是良性肿瘤。你母亲算是幸运的，这颗肿瘤现在还小，现在切除治愈的机会还是很大的。如果不是这次车祸，她伤了头部，也不会这么快发现这颗肿瘤。”她松了口气，幸好，母亲还有救。,,第078章 幸好还有救
第一政要夫人,“谢谢你，托托。”她还是收了下来，她现在确实需要钱。“要不你先回去休息一下，这里我先看着。”马托托看她眼角难以掩饰的疲累，不由的说道。她摇了摇头：“不用了，你还是回去吧，真的谢谢你，钱我一定会还你的。”他拍了拍她的肩：“那你坐这儿先休息一会儿，我去问护士看有没有可能找到一张床，你需要好好睡一觉。”“真的不用了，托托。我在这儿挺好的，我想这样守着我妈。你回去吧，你今天也累了，回去休息吧！”她微低着头，警察还没出来，这让她非常的担心。“我给你买了晚餐，你多少吃点儿，保重自己，才能照顾好周老师。”正说着，警察也出来了。孟瑜冬忙走过去，看着两个警察想说什么，人警察冷冷的看了她一眼，便走了。她再进病房的时候，母亲还清醒着，并没有睡。“妈。。。”她轻轻的唤了声母亲。“冬冬。”周萍微微睁开了眼，“冬冬啊，我跟警察说了，是我自己不小心冲到马路上去的，不干你爸的事。一定要让警察放了你爸，知道吗？”孟瑜冬眼睛湿润了，她握住母亲冰凉的手：“妈，你放心，爸会没事的，你要保重好身体。”周萍终于露出欣慰的笑容，这才缓缓的闭上眼。她再出去时，马托托正在病房外，忧虑的看着她：“周老师没事吧？”她摇摇头：“我妈说，是她自己闯到马路上去的，不干我爸的事。可是我爸爸明明已经承认了，我真的不知道，该怎么办？”马托托抚着她到旁边坐下：“有没有可能是你爸和你妈吵架，没想到你妈跑出去，出了车祸。你爸太内疚了，所以索性承认是他害死你妈的呢？”孟瑜冬猛的抬头，其实父亲在不喝酒的时候，对母亲都挺好的。“如果是这样，你爸应该很快就能放出来。”马托托看她这样，很是不忍，安慰的说道。她也希望是这样，如果父亲能没事，对母亲的病情也会有好处。马托托电话响了，他一看来电微皱了皱眉，还是接了电话：“知道了，我今天会晚点儿回去，你们先睡吧，知道了，晚安。”“托托，今天真的谢谢你，你先回去吧。我在这里守着我妈就好了。”她抬头，对他说道。“那好吧，有什么事情，你打电话给我。”马托托也不坚持了，拍了拍她的肩。她点头，目送他离开。她一直坐在长椅上，想着要怎么办？现在最重要的是母亲的手术费，她卡里还有三万，马托托借给她十万，也才十三万，根本不够母亲的手术费。“孟小姐，你好。”走过来了一个小护士，堆着笑意对她说道。她不觉得自己认识她，有些疑惑的看着眼前的女孩儿：“请问有什么事吗？”“这里不方便谈，我这儿有张名片，或许可以帮助你。”小护士说着，将名片放在她的手里，“记得打这个电话，你就全明白了。”说着，小护士已经离开了。,,第076章 神秘的名片
第一政要夫人,“我们会尽快安排你母亲做手术，这颗瘤越早切除越好。”“谢谢你，医生。”她从医生办公室出来，护士马上找过来：“孟小姐，你母亲刚做了一次手术，恐怕你还要交一次费。”刚刚那一点点的喜悦，一下就子就破灭了。母亲的手术费，对了，还有母亲的手术费。本来手里还有十几万，父亲的保释金一交，她这里再交一次医药费，她就什么都没了。果然，跟护士一去交钱，她卡里剩下那些钱都垫里面去了，这些钱也只能坚持几天，而母亲马上要手术。“冬冬，你妈到底什么情况？”孟梓笙连嘴唇都没有一点儿血色，整个身子摇摇欲坠，非常担心。她定定的看着父亲，她知道父亲有权知道真相，她道：“妈脑子里长了颗瘤，不过医生说这颗瘤是良性的，发现的早，切除之后治愈的机率很高。”孟梓笙一下子也没受得住，他当然知道瘤是什么，那是癌症呀！“冬冬，你妈的手术费你花了不少钱吧！我和你妈还有点存款，一会我去取出来，无论如何一定要把你妈的病治好。”孟梓笙深吸一口气，说道。“爸，你有多少？”她问道。“没多少，九万多，不到十万。我再去借一借，大不了咱们把房子卖了，虽然是乡下的房子，值不了多少钱，四五万还是有的。我这就回去办。”孟梓笙安抚着女儿，“你在这儿陪你妈，我这就回去。”“爸。。。。。”如果说孟瑜冬对父亲还有怒意怨言的话，这一刻，已经冲的干干净净。她相信，这样的父亲不会真的害母亲的，不会。可是这么算一算，不到十五万，母亲的手术费还是不够啊！她猛的想起了那张名片，她心还颤抖着，但是要救母亲的执念在她整个脑海中充斥着，她知道她可以不惜任何代价。她拨通了那个电话，没几下电话就响了：“小姐，你好！”“我想知道，如果我卖一颗肾的话，能多少钱？”她问道。那边像是一点不意外她会这么问，道：“小姐可以提供你的身体检查报告吗？如果你的身体各项机能很好，肾也很健康的话，可以卖到十万。”“只有十万吗？太少了。”她至少要凑到三十万，不然她卖了也没有意义。“小姐多大？”“二十三。”“这样吧，你把你的健康检查报告发给我，如果你的健康状况达到我们的要求，我们可以适当提高价格，给到十五万，你看可以吗？”她沉默了几秒钟，然后说：“好！”,,第079章 决定卖了
第一政要夫人,其实程东阳从上午的时候就觉得不对劲儿，可是他走不开，迫不得已打电话给在滨海的詹龙海：“你帮我办件事？”詹龙海听了他说的事，不由笑道：“这会儿程先生不怕我把她拐跑了吗？”“你办是不办？”程东阳没时间跟他耍嘴皮了，声音一下子冷下来。詹龙海忙应了，难道他这位远房表亲会找他办个事，他没有理由推辞。等程东阳再打电话给他的时候，詹龙海人已经在陵合了。“阿龙，你办事效率什么时候变得这么差，我让上午交待你办的，你现在才到陵合？”程东阳显然已经怒了，他已经肯定孟瑜冬已经出事。他现在困在吉安走不安，更是心急如焚。“表哥放心，事情我会处理好的，一定照顾你的小爱人儿。”詹龙海嘴里还没忍得住调笑道。“那她现在在哪儿？”詹龙海顿了顿，说道：“她母亲出了车祸住院，她现在恐怕是想办法筹钱去了？”“她怎么筹钱？以她的性格，连开口跟人借钱的事情，她都做不出来。”程东阳一想到她陷入这样的困境，竟然一个字不跟自己提，心里那一个恨，那一个怒呀！“这世上有很多人，他们守在医院周围，给点钱给医院的医生护士，就能知道哪家有人得了绝症，没有医药费。这些人，只需要递上一张名片，告诉他们，只要拿出一个小小的器官，就能拿到钱，解燃眉之急。”詹龙海缓缓的解释说道。程东阳听到这里，已经坐不住了：“你必须去阻止她，绝对不可以让她卖器官。”“我正去着呢？要查人家的窝也得费时间。”詹龙海回道。“你怎么现在才到陵合？”程东阳不满的说道。“上午出了点事情，要紧急处理，程大公子放心，这事儿我一定给你处理好。”詹龙海看着外面的夜色，眼眸深黯的说道。而孟瑜冬从坐上那辆面包车就开始不安，她手心背心全是汗，车上另外还有两个女人一个男人。谁也不说话，却让她如坐针毡。她突然有点后悔了，后悔坐上这个车，跟他们去那个未知的地方。“孟小姐不用害怕，手术会很快，而且一点儿都不会疼。手术结束后，我就可以拿到钱。”车上的其中一个女人说道。她转头看了眼那个女人，扯了扯嘴角，没有说话。孟瑜冬是害怕的，可是她也需要钱，只要想到拿到钱可以解决母亲的医药费，她就鼓起了勇气。他们到了偏郊区的一个废旧工厂，那里已经有人在守门。门开了，他们的车直接使了进去。一个穿着白大褂的男人后面跟着几个人在那里等着，一看她下车，就含笑走过去：“孟小姐，你好。”他伸出手，她和他握了握手：“你好。”“鄙姓倪，请跟我来。”他们在前面引路，这里内有乾坤，里面倒是装修很好的房间，从这边的通门进去就是手术房。“孟小姐，在做手术之前，我们先签一个合约，这样大家都安心，你说对吗？”倪先生含着笑意对她说道。她低头看了看那份协议，大概内容就是她自愿将肾捐给一个人，为了答谢她，对方将给予十八万的报酬。比他们之前说好的，还多了一万。“签字吧，签完我们就可以开始做手术，做完手术，我会让人送你回去。”倪先生提醒她说道。她拿起了笔，在签名处签下了自己的名字。“好了，准备去消毒室，可以开始做手术了。”倪先生拿走了合约，对其他人说道。她被请进了那边的手术室，换上了无菌服。既然签了字，她尽量当自己是不存在的。没关系，手术一结束，一切都会好的。她对自己说。那边的人已经开始把手术器材拿过来，一一的摆放好，医生也开始进来，强光打过来，她看到一个女护士拿着针过来。大概是要打麻醉针了，也要，这一针下去，她人事不知，也会少了很多痛苦。可是就在她那一针要下去时，外面猛的响起了声音，而且越来越大。一旁的倪先生皱起了眉头，没等他出去问发生什么事，门已经被哄开了。来的是一群警察，其中还有一个詹龙海。“你们涉嫌非法买卖器官，都抓起来。”带头的警官一声令下，一双双手铐把那些人全都铐上。那位倪先生显然不明白发生什么，他疑惑的看着警察，警察对他露出一抹无奈的表情，但是也是转瞬即逝的，接下来都是公事公办处理。詹龙海走进来，走到手术台边上，看着还躺着孟瑜冬，他冷笑：“你一直觉得你挺聪明的，惠质兰心，挺可人的女孩。这一次你让我失望了，孟瑜冬，其实你挺蠢的。”她看看这个人，再看看周围，终于意识到是发生什么事？她缓缓的坐了起来：“你怎么会在这里？”詹龙海道：“受人之托，下来吧！”都已经这样了，她也不能怎么样。她坐上了詹龙海的车，心里在嘀咕着，他受谁之托。程东阳吗？一想到程东阳，她心脏一阵的紧缩，靠着窗没有说话。“我没看过这么不看重自己的女人，孟瑜冬，你知不知道，他们这一刀下去，会要了你的命。”詹龙海转头，看她说道。她不回应，如果不是穷途末路了，她也不会这么做。这会儿，他的电话响了，他看了孟瑜冬一眼，接了电话：“放心，人已经接到了，她没事了。”她猜是程东阳打来的电话，是他让这个男人来救自己的，真的是这样吗？,,第081章 没见过更蠢的女人
第一政要夫人,马托托一脸的沉重：“你妈还没这危险期，现在进了加护病房。”她身体一软，马托托一把搂住了她，陌生的男人气息袭来，她微微的推拒开这个男人，尴尬的走到了前面。马托托忙跟上，说道：“要不要给小冬打个电话？”孟瑜冬这才想起来，只是小冬的电话一直处于不通的状态，那天在紫兰星见了之后，就再也没有见过。她拔了她的电话，果然还是不通的状态。母亲的手术并不算成功，命是保住了，现在还晕迷不醒，要在加护病房先观察几天才行。她守在外面，不一会儿马托托买了午餐过来。“先吃点吧，先吃点东西，你才有精力照顾你妈。”马托托在旁边说道。她拿过饭盒：“托托，今天谢谢你，你的钱我会想办法还你的。你先回去吧，我来照顾我妈就好了。”“我在这儿陪你吧！”她的脸色太过苍白，而且发生这种事，如果没个人陪着她，那也太可怜了。“真的不用了，我一个人在这儿就行了，真的谢谢你。”她感激的看着他。“那好吧，我下午再过来。你别胡思乱想，周老师会没事的，你要保重好身体才行。”马托托说道。她点点头，目送他离开。她实在没有胃口，脑子里充斥着各种声音，想着还在病房里的母亲，还在在公安局拘留的父亲，心脏便刺刺的在痛。父亲真的是故意要杀死母亲的吗？她无法去想像，更不愿意这么去想。“周萍的家属在吗？”护士此时走过来，淡淡的说道。“我是。”她忙站了起来，走了过去。“跟我来吧！”护士看了她一眼，说道。她便跟着过去，进了脑科医生的办公室。那个医生手边还饭着一个饭盒，盯着那个CT照片看。“陆医生，这位就是周萍的家属。”护士进来先说道。陆医生抬头看了她一眼，指了指他前面的椅子：“坐吧！”她有些不安，感觉好像有事情发生，还是平心静气的坐下。“陆医生，你好。我是周萍的女儿，孟瑜冬。”“孟小姐，你好，我想现在跟你谈谈你母亲的病情。”陆医生定定看了看她，“这是你母亲的CT照片，出了点状况。”她看这些黑黑白白的照片，自然是看不懂的，她正襟危坐：“医生，我妈不是已经做完手术了吗？她是不是没事了。”“你母亲颅骨内的淤血已经取出来了，可是我们在你母亲右脑的这一块儿发现了一个阴影。起初我们以为还是淤血，但是到最后发现，这不是淤血而是个肿瘤。”医生拿着CT照片对她说道。,,第072章 其实是颗肿瘤
第一政要夫人,“冬冬，你听妈说，你一定要救你爸出来，知道吗？”周萍握紧了女儿的手，含着眼泪哀求，“真的不关你爸的事情，不是他推我进马路的，你要救他。”“妈。。。”孟瑜冬不想让母亲这么激动，她胸口一窒，马上安抚母亲，“妈，你不要紧张，我会救爸的，我会救他。”可是，她不懂呀，如果是父亲真的要母亲死，她都成这样了，为什么还要维护他。如果不是，父亲为什么要承认呢？她出了病房，警察就来了，显然是得知她母亲醒来的消息赶来的。还是那个男警和女警，深深了看了她一眼，要进去。她忙说道：“我妈才刚醒，请你们尽量不要刺激她，可以吗？”那个女警对她印象极差，冷冷的睨了她一眼说道：“我们公安警察办事，不用你来费心。”她一句话也说不出来，想跟着进去，那女警又拦在她身前：“请不要妨碍我们警察办事，你不能进来。”她没有坚持，看他们进去，只能呆呆的守在门口。“冬冬！”马托托赶来了，看她正在发呆，不由拉住了她的手，“周老师醒了，是吗？”她点点头：“是的，警察来了，在里面问话。”“你妈才醒，他们就进去问话？”马托托显然非常的不满，“医生同意吗？”“大概是医生通知警察过来的吧！”她淡淡的说，看着病房里面，脸上充满了忧虑。“周老师能醒过来，就说明已经度过危险期了，你不要太担心。”马托托安慰她说道。她苦涩的一笑，却没有再多说什么。“托托，谢谢你来看我。我妈也醒了，这里有我就可以了，你回去吧。”今天已经麻烦他太多了，还欠了他一大笔钱，她不能再连累他了。“跟我还用客气吗？”经过了这一天，他也认识到，这个看似温温柔柔的女孩儿，骨子里是多么的倔强和好强。“你妈住院用药肯定还需要钱，你的钱还够吗？我这里还有十万，你先拿着用。以后有钱了，还我就好。”孟瑜冬看着他递过来的卡，感动的眼睛一涩，母亲现在是要用钱，而她确实也很需要用钱。可是，她和他不过才刚刚重逢，就是以前，也就是在一起的儿时玩伴而已。她真的要接受他的好意吗？“别想那么多，收着钱。就算你不想要，想想周老师，她现在哪个地方都要用到钱。”他将卡塞到她手里，说道。,,第075章 一定要救他
第一政要夫人,她还是接了程东阳的电话，一通电话，电话那头的程东阳声音冰冷：“孟瑜冬，你在哪儿？”她下意识的握紧了电话，听到了这个熟悉的声音，她眼睛发酸，靠着墙久久没有说话。“孟瑜冬，昨天晚上我跟你说的话，你显然没有听进去。我让你乖乖的呆在酒店，你居然又偷跑出去。你现在在哪儿，我让启航去接你。”程东阳没等她回应，声音已经过来，越发的冰冷严苛，隐隐的还含着怒意。“我今天有事情，抱歉，我要挂电话了。”她有几分受不住，手还在微微的发抖。“孟瑜冬，你敢挂我的电话。”程东阳的话还没有说完，电话已经挂了。而这一头的孟瑜冬，已经将电话关了。“你在跟谁通电话？”女警盯着她，问道。“这是我的隐私。”孟瑜冬说着，转身想要去手术室那边，看母亲的手术结束了没有。“孟瑜冬，你给我好好配合，我们的话还没有问完。”女警显然已经愤怒，甚至不耐烦。“你们还想问什么呢？”她立住脚步，问道。“昨天晚上你在哪里？”女警追问道。“我昨天晚上不在家，我爸我妈发生的事情我通通不知道。”她回道。“你还没有回答，你昨天晚上在哪里？”男警察看她闪烁其辞，对她的印象更差，紧逼着问道。“我不是犯人，我在哪儿是我的隐私。”她根本回答不了，她又怎么可能说自己跟程东阳在一起呢！“如果你回答不了你在哪里？那你也有嫌疑，又或者企图杀害你母亲的那个人，是你才对。你父亲会承认，是为了替你顶罪。”女警说道。她听着，身体发抖发凉，阵阵的寒意从脚底升起来。她会害死自己的母亲，这是她听到的世间最好笑的笑话。“她昨天晚上跟我在一起，昨天我们在陵辉饭店吃饭，后来就一直在一起。你们警察既然问了邻居，应该知道她走了之后有没有回去过。”马托托走过来，冷冷的回道。“这位先生，我们问的是孟瑜冬，请你回避。”男警察已经他非常的不满。“冬冬和我在一起，她不过是害羞，所以才不愿意回答。必竟这是我们的隐私，请问你们还有别的问题吗？”马托托搂在她的肩上，目视警察说道。警察其实也问过了，孟瑜冬根本不在再场，这会儿也没话说了。马托托搂着她往回走的时候，神色凝重的对她说：“周老师的手术结束了，现在被送进了加护病房。”她看着马托托的神色，很不安的问道：“我妈没事了，对不对？”,,第071章 她和我在一起
第一政要夫人,她的脑海猛的一片苍白，肿瘤！母亲的脑子里怎么会有肿瘤。“医生，会不会是看错了呢？”“孟小姐，我们已经反复研究过，这也是为什么先让你母亲在加护病房的原因，她需要进一步的观察。看这颗肿瘤是良性还是恶性的。”陆医生当然知道，一般人对这样的事情都难以接受，但是都要面对现实。“可是怎么会呢？”母亲已经够苦的了，为什么老天还要对她这么残忍。“我们会进一步确诊，如果肿瘤是良性的，还是可以乐观的。”陆医生看她这样，有些不忍的安慰道。“那如果不是呢？”她怔怔的问道。“如果不是，也会有相应的治疗方案，只要确认好肿瘤是良性还是恶性的，我们就会安排做手术，切除肿瘤。”医生说道。“我妈还能活下来吗？”她说着，鼻头一酸，差点就要哭出来。“不要想太多，只要手术成功，她当然能活下去。”她想问，如果失败了呢？她没问，她也不敢问，从医生那儿出来，护士便找了过来。“孟小姐，跟我过来交一下你母亲的医药费吧。”她怔住，不是才交过钱吗？为什么又要交呢？她一看单子，母亲现在用的药，住的病房，所要的花费哪一项都是天价。她只得去刷了卡，两万块钱一下子就没了，这么下去，她手里的这点钱坚持不了多久。“护士小姐，我妈如果再动手术，会需要多少钱？”她办完手术，问道。护士看了她一眼，说道：“三四十万是跑不掉的，你妈做的不是小手术。现在的药都很贵，你妈用的药都不便宜。”她拿着单子，守在病房前，透过玻璃她去看着病房内的母亲。母亲身上插着很多管子，昏迷为醒。母亲的一生本来就辛苦，她所知道的是，母亲就是一个孤女，不知道什么时候来到他们的村子。她的过去她从来不提，她曾想过，那必定不会有多么的美好。后来她嫁给了父亲，父亲也没怎么善待她。她呼吸一窒，真真的就害怕起来。她摸出了电话，开了机手微微发抖的按了一个数字，电话响了几声便通了。“孟瑜冬！”程东阳的声音很冷淡，“你居然还知道打电话给我。”一听他电话，她蓦然惊醒，她疯了吗？怎么会打电话给他呢？无论如何，她都不能求他来帮自己。“我现在在去吉安的路上，那边出了问题，我要提前上任。你给我好自为之，马上回滨海，下个月来吉安，知道吗？”程东阳没等她回答，继续说道。,,第073章 他已不在
